fips_value,fips,cover
1001,01001,0.38
1003,01003,0.00
1005,01005,0.89
1007,01007,0.00
1009,01009,0.00
1011,01011,1.00
1013,01013,0.00
1015,01015,0.11
1017,01017,1.00
1019,01019,0.27
1021,01021,0.14
1023,01023,0.00
1025,01025,0.00
1027,01027,1.00
1029,01029,0.44
1031,01031,0.06
1033,01033,0.00
1035,01035,0.00
1037,01037,0.90
1039,01039,0.00
1041,01041,0.07
1043,01043,0.00
1045,01045,0.20
1047,01047,0.00
1049,01049,0.46
1051,01051,0.93
1053,01053,0.00
1055,01055,0.00
1057,01057,0.00
1059,01059,0.00
1061,01061,0.00
1063,01063,0.00
1065,01065,0.00
1067,01067,0.25
1069,01069,0.00
1071,01071,0.68
1073,01073,0.00
1075,01075,0.00
1077,01077,0.08
1079,01079,0.00
1081,01081,1.00
1083,01083,0.53
1085,01085,0.00
1087,01087,1.00
1089,01089,0.30
1091,01091,0.00
1093,01093,0.00
1095,01095,0.00
1097,01097,0.00
1099,01099,0.00
1101,01101,0.90
1103,01103,0.00
1105,01105,0.00
1107,01107,0.00
1109,01109,0.50
1111,01111,1.00
1113,01113,1.00
1115,01115,0.00
1117,01117,0.00
1119,01119,0.00
1121,01121,0.62
1123,01123,1.00
1125,01125,0.00
1127,01127,0.00
1129,01129,0.00
1131,01131,0.00
1133,01133,0.00
2013,02013,0.00
2016,02016,0.00
2020,02020,0.00
2050,02050,0.00
2060,02060,0.00
2068,02068,0.00
2070,02070,0.00
2090,02090,0.00
2100,02100,0.00
2105,02105,0.00
2110,02110,0.00
2122,02122,0.00
2130,02130,0.00
2150,02150,0.00
2164,02164,0.00
2170,02170,0.00
2180,02180,0.00
2185,02185,0.00
2188,02188,0.00
2195,02195,0.00
2198,02198,0.00
2220,02220,0.00
2230,02230,0.00
2240,02240,0.00
2261,02261,0.00
2275,02275,0.00
2282,02282,0.00
2290,02290,0.00
4001,04001,0.30
4003,04003,0.04
4005,04005,0.61
4007,04007,1.00
4009,04009,0.64
4011,04011,0.00
4012,04012,1.00
4013,04013,1.00
4015,04015,1.00
4017,04017,0.57
4019,04019,0.97
4021,04021,1.00
4023,04023,0.40
4025,04025,1.00
4027,04027,0.73
5001,05001,1.00
5003,05003,1.00
5005,05005,1.00
5007,05007,1.00
5009,05009,1.00
5011,05011,1.00
5013,05013,1.00
5015,05015,1.00
5017,05017,1.00
5019,05019,1.00
5021,05021,1.00
5023,05023,1.00
5025,05025,1.00
5027,05027,1.00
5029,05029,1.00
5031,05031,1.00
5033,05033,1.00
5035,05035,1.00
5037,05037,1.00
5039,05039,1.00
5041,05041,1.00
5043,05043,1.00
5045,05045,1.00
5047,05047,1.00
5049,05049,1.00
5051,05051,1.00
5053,05053,1.00
5055,05055,1.00
5057,05057,1.00
5059,05059,1.00
5061,05061,1.00
5063,05063,1.00
5065,05065,1.00
5067,05067,1.00
5069,05069,1.00
5071,05071,1.00
5073,05073,1.00
5075,05075,1.00
5077,05077,1.00
5079,05079,1.00
5081,05081,1.00
5083,05083,1.00
5085,05085,1.00
5087,05087,1.00
5089,05089,1.00
5091,05091,1.00
5093,05093,1.00
5095,05095,1.00
5097,05097,1.00
5099,05099,1.00
5101,05101,1.00
5103,05103,1.00
5105,05105,1.00
5107,05107,1.00
5109,05109,1.00
5111,05111,1.00
5113,05113,1.00
5115,05115,1.00
5117,05117,1.00
5119,05119,1.00
5121,05121,1.00
5123,05123,1.00
5125,05125,1.00
5127,05127,1.00
5129,05129,1.00
5131,05131,1.00
5133,05133,1.00
5135,05135,1.00
5137,05137,1.00
5139,05139,1.00
5141,05141,1.00
5143,05143,1.00
5145,05145,1.00
5147,05147,1.00
5149,05149,1.00
6001,06001,0.33
6003,06003,0.50
6005,06005,1.00
6007,06007,0.84
6009,06009,1.00
6011,06011,0.91
6013,06013,0.98
6015,06015,0.00
6017,06017,0.96
6019,06019,1.00
6021,06021,0.50
6023,06023,0.00
6025,06025,0.26
6027,06027,0.42
6029,06029,0.48
6031,06031,1.00
6033,06033,0.44
6035,06035,0.00
6037,06037,1.00
6039,06039,1.00
6041,06041,0.00
6043,06043,1.00
6045,06045,0.00
6047,06047,1.00
6049,06049,0.00
6051,06051,0.13
6053,06053,0.18
6055,06055,1.00
6057,06057,0.94
6059,06059,1.00
6061,06061,0.94
6063,06063,0.11
6065,06065,0.87
6067,06067,1.00
6069,06069,0.43
6071,06071,1.00
6073,06073,1.00
6075,06075,0.00
6077,06077,1.00
6079,06079,1.00
6081,06081,0.00
6083,06083,1.00
6085,06085,0.01
6087,06087,0.00
6089,06089,0.00
6091,06091,0.78
6093,06093,0.00
6095,06095,1.00
6097,06097,0.29
6099,06099,0.91
6101,06101,1.00
6103,06103,0.00
6105,06105,0.00
6107,06107,0.90
6109,06109,0.82
6111,06111,1.00
6113,06113,1.00
6115,06115,1.00
8001,08001,0.00
8003,08003,0.00
8005,08005,0.00
8007,08007,0.83
8009,08009,0.00
8011,08011,0.00
8013,08013,0.00
8014,08014,0.00
8015,08015,0.00
8017,08017,0.00
8019,08019,0.00
8021,08021,0.88
8023,08023,0.57
8025,08025,0.00
8027,08027,0.00
8029,08029,0.00
8031,08031,0.00
8033,08033,0.00
8035,08035,0.00
8037,08037,0.00
8039,08039,0.00
8041,08041,0.00
8043,08043,0.00
8045,08045,0.00
8047,08047,0.00
8049,08049,0.00
8051,08051,0.00
8053,08053,0.33
8055,08055,0.00
8057,08057,0.00
8059,08059,0.00
8061,08061,0.00
8063,08063,0.00
8065,08065,0.00
8067,08067,0.25
8069,08069,0.00
8071,08071,0.00
8073,08073,0.00
8075,08075,0.00
8077,08077,0.00
8079,08079,0.00
8081,08081,0.00
8083,08083,0.00
8085,08085,0.00
8087,08087,0.00
8089,08089,0.00
8091,08091,0.00
8093,08093,0.00
8095,08095,0.00
8097,08097,0.00
8099,08099,0.00
8101,08101,0.00
8103,08103,0.00
8105,08105,0.14
8107,08107,0.00
8109,08109,0.00
8111,08111,0.00
8113,08113,0.00
8115,08115,0.00
8117,08117,0.00
8119,08119,0.00
8121,08121,0.00
8123,08123,0.00
8125,08125,0.00
9001,09001,1.00
9003,09003,1.00
9005,09005,1.00
9007,09007,1.00
9009,09009,1.00
9011,09011,1.00
9013,09013,1.00
9015,09015,1.00
10001,10001,1.00
10003,10003,1.00
10005,10005,1.00
11001,11001,1.00
12001,12001,0.94
12003,12003,0.75
12005,12005,0.00
12007,12007,1.00
12009,12009,0.98
12011,12011,1.00
12013,12013,0.00
12015,12015,1.00
12017,12017,0.00
12019,12019,1.00
12021,12021,0.69
12023,12023,0.00
12027,12027,1.00
12029,12029,0.00
12031,12031,1.00
12033,12033,0.00
12035,12035,1.00
12037,12037,0.00
12039,12039,0.00
12041,12041,0.00
12043,12043,0.40
12045,12045,0.00
12047,12047,0.00
12049,12049,1.00
12051,12051,0.29
12053,12053,0.50
12055,12055,0.92
12057,12057,1.00
12059,12059,0.00
12061,12061,0.63
12063,12063,0.00
12065,12065,0.00
12067,12067,0.00
12069,12069,1.00
12071,12071,0.67
12073,12073,0.00
12075,12075,0.14
12077,12077,0.00
12079,12079,0.00
12081,12081,1.00
12083,12083,0.93
12085,12085,1.00
12086,12086,1.00
12087,12087,0.23
12089,12089,0.88
12091,12091,0.00
12093,12093,0.67
12095,12095,1.00
12097,12097,0.96
12099,12099,1.00
12101,12101,1.00
12103,12103,1.00
12105,12105,1.00
12107,12107,1.00
12109,12109,1.00
12111,12111,0.96
12113,12113,0.00
12115,12115,0.97
12117,12117,1.00
12119,12119,1.00
12121,12121,0.00
12123,12123,0.00
12125,12125,1.00
12127,12127,1.00
12129,12129,0.00
12131,12131,0.00
12133,12133,0.00
13001,13001,0.00
13003,13003,0.00
13005,13005,0.00
13007,13007,0.00
13009,13009,0.00
13011,13011,1.00
13013,13013,1.00
13015,13015,1.00
13017,13017,0.00
13019,13019,0.00
13021,13021,0.05
13023,13023,0.00
13025,13025,0.00
13027,13027,0.00
13029,13029,0.00
13031,13031,0.00
13033,13033,0.00
13035,13035,0.29
13037,13037,0.43
13039,13039,0.00
13043,13043,0.00
13045,13045,0.80
13047,13047,1.00
13049,13049,0.00
13051,13051,0.00
13053,13053,1.00
13055,13055,1.00
13057,13057,1.00
13059,13059,1.00
13061,13061,0.57
13063,13063,0.05
13065,13065,0.00
13067,13067,0.77
13069,13069,0.00
13071,13071,0.00
13073,13073,0.00
13075,13075,0.00
13077,13077,1.00
13079,13079,0.43
13081,13081,0.00
13083,13083,1.00
13085,13085,0.86
13087,13087,0.00
13089,13089,0.49
13091,13091,0.00
13093,13093,0.00
13095,13095,0.08
13097,13097,0.27
13099,13099,0.00
13101,13101,0.00
13103,13103,0.00
13105,13105,1.00
13107,13107,0.00
13109,13109,0.00
13111,13111,1.00
13113,13113,0.67
13115,13115,0.94
13117,13117,1.00
13119,13119,1.00
13121,13121,0.33
13123,13123,1.00
13125,13125,0.00
13127,13127,0.00
13129,13129,1.00
13131,13131,0.00
13133,13133,0.00
13135,13135,0.97
13137,13137,1.00
13139,13139,1.00
13141,13141,0.00
13143,13143,0.14
13145,13145,1.00
13147,13147,1.00
13149,13149,1.00
13151,13151,0.09
13153,13153,0.00
13155,13155,0.00
13157,13157,1.00
13159,13159,0.00
13161,13161,0.00
13163,13163,0.00
13165,13165,0.00
13167,13167,0.00
13169,13169,0.00
13171,13171,0.89
13173,13173,0.00
13175,13175,0.00
13177,13177,0.13
13179,13179,0.00
13181,13181,0.00
13183,13183,0.00
13185,13185,0.00
13187,13187,1.00
13189,13189,0.00
13191,13191,0.00
13193,13193,0.55
13195,13195,1.00
13197,13197,1.00
13199,13199,1.00
13201,13201,0.00
13205,13205,0.00
13207,13207,0.36
13209,13209,0.00
13211,13211,0.00
13213,13213,1.00
13215,13215,1.00
13217,13217,0.08
13219,13219,0.70
13221,13221,0.70
13223,13223,0.45
13225,13225,0.25
13227,13227,1.00
13229,13229,0.00
13231,13231,1.00
13233,13233,0.56
13235,13235,0.00
13237,13237,0.00
13239,13239,1.00
13241,13241,1.00
13243,13243,0.71
13245,13245,0.00
13247,13247,0.20
13249,13249,1.00
13251,13251,0.00
13253,13253,0.00
13255,13255,0.78
13257,13257,1.00
13259,13259,1.00
13261,13261,0.44
13263,13263,1.00
13265,13265,0.00
13267,13267,0.00
13269,13269,1.00
13271,13271,0.00
13273,13273,0.43
13275,13275,0.00
13277,13277,0.00
13279,13279,0.00
13281,13281,1.00
13283,13283,0.00
13285,13285,1.00
13287,13287,0.00
13289,13289,0.00
13291,13291,1.00
13293,13293,1.00
13295,13295,1.00
13297,13297,0.38
13299,13299,0.00
13301,13301,0.00
13303,13303,0.00
13305,13305,0.00
13307,13307,1.00
13309,13309,0.00
13311,13311,1.00
13313,13313,1.00
13315,13315,0.00
13317,13317,0.00
13319,13319,0.00
13321,13321,0.00
15001,15001,0.00
15003,15003,0.00
15005,15005,0.00
15007,15007,0.00
15009,15009,0.00
16001,16001,0.00
16003,16003,0.00
16005,16005,1.00
16007,16007,1.00
16009,16009,0.00
16011,16011,1.00
16013,16013,1.00
16015,16015,0.00
16017,16017,0.00
16019,16019,1.00
16021,16021,0.00
16023,16023,1.00
16025,16025,0.50
16027,16027,0.00
16029,16029,1.00
16031,16031,1.00
16033,16033,1.00
16035,16035,0.00
16037,16037,0.86
16039,16039,0.13
16041,16041,1.00
16043,16043,1.00
16045,16045,0.00
16047,16047,0.63
16049,16049,0.00
16051,16051,1.00
16053,16053,0.80
16055,16055,0.00
16057,16057,0.00
16059,16059,0.58
16061,16061,0.00
16063,16063,1.00
16065,16065,1.00
16067,16067,1.00
16069,16069,0.00
16071,16071,1.00
16073,16073,0.00
16075,16075,0.00
16077,16077,1.00
16079,16079,0.00
16081,16081,1.00
16083,16083,0.50
16085,16085,0.00
16087,16087,0.00
17001,17001,0.00
17003,17003,1.00
17005,17005,0.00
17007,17007,0.94
17009,17009,0.00
17011,17011,0.03
17013,17013,0.00
17015,17015,0.00
17017,17017,0.00
17019,17019,1.00
17021,17021,0.00
17023,17023,1.00
17025,17025,0.00
17027,17027,0.00
17029,17029,0.87
17031,17031,1.00
17033,17033,0.82
17035,17035,0.62
17037,17037,1.00
17039,17039,0.43
17041,17041,1.00
17043,17043,1.00
17045,17045,1.00
17047,17047,0.83
17049,17049,0.00
17051,17051,0.00
17053,17053,1.00
17055,17055,1.00
17057,17057,0.00
17059,17059,1.00
17061,17061,0.00
17063,17063,1.00
17065,17065,1.00
17067,17067,0.00
17069,17069,0.80
17071,17071,0.00
17073,17073,0.00
17075,17075,1.00
17077,17077,1.00
17079,17079,0.31
17081,17081,0.59
17083,17083,0.00
17085,17085,0.00
17087,17087,1.00
17089,17089,1.00
17091,17091,1.00
17093,17093,1.00
17095,17095,0.00
17097,17097,1.00
17099,17099,0.76
17101,17101,0.33
17103,17103,0.38
17105,17105,0.97
17107,17107,0.00
17109,17109,0.00
17111,17111,1.00
17113,17113,0.70
17115,17115,0.14
17117,17117,0.00
17119,17119,0.00
17121,17121,0.00
17123,17123,0.06
17125,17125,0.00
17127,17127,1.00
17129,17129,0.00
17131,17131,0.00
17133,17133,1.00
17135,17135,0.00
17137,17137,0.00
17139,17139,0.56
17141,17141,0.46
17143,17143,0.00
17145,17145,1.00
17147,17147,1.00
17149,17149,0.00
17151,17151,1.00
17153,17153,1.00
17155,17155,0.00
17157,17157,1.00
17159,17159,0.00
17161,17161,0.00
17163,17163,0.32
17165,17165,1.00
17167,17167,0.00
17169,17169,0.00
17171,17171,0.00
17173,17173,0.05
17175,17175,0.00
17177,17177,0.00
17179,17179,0.00
17181,17181,1.00
17183,17183,1.00
17185,17185,0.71
17187,17187,0.00
17189,17189,0.64
17191,17191,0.37
17193,17193,1.00
17195,17195,0.00
17197,17197,1.00
17199,17199,1.00
17201,17201,0.64
17203,17203,0.21
18001,18001,1.00
18003,18003,1.00
18005,18005,1.00
18007,18007,1.00
18009,18009,1.00
18011,18011,1.00
18013,18013,1.00
18015,18015,1.00
18017,18017,1.00
18019,18019,1.00
18021,18021,1.00
18023,18023,1.00
18025,18025,1.00
18027,18027,1.00
18029,18029,1.00
18031,18031,1.00
18033,18033,1.00
18035,18035,1.00
18037,18037,1.00
18039,18039,1.00
18041,18041,1.00
18043,18043,1.00
18045,18045,1.00
18047,18047,1.00
18049,18049,1.00
18051,18051,1.00
18053,18053,1.00
18055,18055,1.00
18057,18057,1.00
18059,18059,1.00
18061,18061,1.00
18063,18063,1.00
18065,18065,1.00
18067,18067,1.00
18069,18069,1.00
18071,18071,1.00
18073,18073,1.00
18075,18075,1.00
18077,18077,1.00
